manuscript_section,page_or_location,table_or_figure,claim_or_metric,displayed_value,source_file,source_row,source_full_precision,rounding,generating_script,canonical_lineage,PASS_FAIL
Cover Letter,sensitivity,,aggregation RMSE range,-0.000890 to 0.000683,repo/Data/Additional Sensitivity Analysis/New Nonoverlap Primary/Aggregation Order/summaries/aggregation_configuration_summary.csv,min/max delta_RMSE_operational,machine-derived,6 decimals,Code/scripts/35_phase1_nonoverlap_sensitivity.py,canonical_nonoverlap_primary_20260830 / final_phase1_sensitivities,PASS
Abstract; Methods; Results,headline counts,-,total paired observations,"681,545",repo/Data/Additional Sensitivity Analysis/Canonical Primary Nonoverlap 20260830/manifest.json,JSON key=pair_rows,681545,counts: integer; manuscript headline RMSE/differences: 6 decimals; table values: source-derived fixed precision,Code/scripts/34_promote_nonoverlap_primary.py,canonical_nonoverlap_primary_20260830 / final_phase1_sensitivities,PASS
Abstract; Methods; Results,headline counts,-,Multi-AOI OLS runs,72,repo/Data/Additional Sensitivity Analysis/Canonical Primary Nonoverlap 20260830/manifest.json,JSON key=multi_aoi_runs,72,counts: integer; manuscript headline RMSE/differences: 6 decimals; table values: source-derived fixed precision,Code/scripts/34_promote_nonoverlap_primary.py,canonical_nonoverlap_primary_20260830 / final_phase1_sensitivities,PASS
Abstract; Methods; Results,headline counts,-,Rolling-Origin OLS runs,72,repo/Data/Additional Sensitivity Analysis/Canonical Primary Nonoverlap 20260830/manifest.json,JSON key=rolling_origin_runs,72,counts: integer; manuscript headline RMSE/differences: 6 decimals; table values: source-derived fixed precision,Code/scripts/34_promote_nonoverlap_primary.py,canonical_nonoverlap_primary_20260830 / final_phase1_sensitivities,PASS
Abstract; Methods; Results,headline counts,-,DPM endpoint configurations,48,repo/Data/Additional Sensitivity Analysis/Canonical Primary Nonoverlap 20260830/manifest.json,JSON key=dpm_runs,48,counts: integer; manuscript headline RMSE/differences: 6 decimals; table values: source-derived fixed precision,Code/scripts/34_promote_nonoverlap_primary.py,canonical_nonoverlap_primary_20260830 / final_phase1_sensitivities,PASS
Abstract; Methods; Results,headline counts,-,predefined paired block contrasts,72,repo/Data/Additional Sensitivity Analysis/Canonical Primary Nonoverlap 20260830/manifest.json,JSON key=block_contrasts,72,counts: integer; manuscript headline RMSE/differences: 6 decimals; table values: source-derived fixed precision,Code/scripts/34_promote_nonoverlap_primary.py,canonical_nonoverlap_primary_20260830 / final_phase1_sensitivities,PASS
Results,Table 2,Table 2,RMSE,0.049230,repo/Data/Additional Sensitivity Analysis/Canonical Primary Nonoverlap 20260830/multi_aoi_metrics.csv,AOI=AOI-00; sensor=landsat; window=W2022; target_year=2025,0.0492297588303295,counts: integer; manuscript headline RMSE/differences: 6 decimals; table values: source-derived fixed precision,Code/scripts/34_promote_nonoverlap_primary.py,canonical_nonoverlap_primary_20260830 / final_phase1_sensitivities,PASS
Results,Table 2,Table 2,MAE,0.040301,repo/Data/Additional Sensitivity Analysis/Canonical Primary Nonoverlap 20260830/multi_aoi_metrics.csv,AOI=AOI-00; sensor=landsat; window=W2022; target_year=2025,0.0403013681922729,counts: integer; manuscript headline RMSE/differences: 6 decimals; table values: source-derived fixed precision,Code/scripts/34_promote_nonoverlap_primary.py,canonical_nonoverlap_primary_20260830 / final_phase1_sensitivities,PASS
Results,Table 2,Table 2,Bias,-0.001052,repo/Data/Additional Sensitivity Analysis/Canonical Primary Nonoverlap 20260830/multi_aoi_metrics.csv,AOI=AOI-00; sensor=landsat; window=W2022; target_year=2025,-0.0010518259242066,counts: integer; manuscript headline RMSE/differences: 6 decimals; table values: source-derived fixed precision,Code/scripts/34_promote_nonoverlap_primary.py,canonical_nonoverlap_primary_20260830 / final_phase1_sensitivities,PASS
Results,Table 2,Table 2,R2,0.7405386596973291,repo/Data/Additional Sensitivity Analysis/Canonical Primary Nonoverlap 20260830/multi_aoi_metrics.csv,AOI=AOI-00; sensor=landsat; window=W2022; target_year=2025,0.7405386596973291,counts: integer; manuscript headline RMSE/differences: 6 decimals; table values: source-derived fixed precision,Code/scripts/34_promote_nonoverlap_primary.py,canonical_nonoverlap_primary_20260830 / final_phase1_sensitivities,PASS
Results,Table 2,Table 2,Pearson_r,0.8607811944412894,repo/Data/Additional Sensitivity Analysis/Canonical Primary Nonoverlap 20260830/multi_aoi_metrics.csv,AOI=AOI-00; sensor=landsat; window=W2022; target_year=2025,0.8607811944412894,counts: integer; manuscript headline RMSE/differences: 6 decimals; table values: source-derived fixed precision,Code/scripts/34_promote_nonoverlap_primary.py,canonical_nonoverlap_primary_20260830 / final_phase1_sensitivities,PASS
Results,Table 2,Table 2,RMSE,0.050040,repo/Data/Additional Sensitivity Analysis/Canonical Primary Nonoverlap 20260830/multi_aoi_metrics.csv,AOI=AOI-00; sensor=landsat; window=W2023; target_year=2025,0.0500402703789647,counts: integer; manuscript headline RMSE/differences: 6 decimals; table values: source-derived fixed precision,Code/scripts/34_promote_nonoverlap_primary.py,canonical_nonoverlap_primary_20260830 / final_phase1_sensitivities,PASS
Results,Table 2,Table 2,MAE,0.040883,repo/Data/Additional Sensitivity Analysis/Canonical Primary Nonoverlap 20260830/multi_aoi_metrics.csv,AOI=AOI-00; sensor=landsat; window=W2023; target_year=2025,0.0408831384432917,counts: integer; manuscript headline RMSE/differences: 6 decimals; table values: source-derived fixed precision,Code/scripts/34_promote_nonoverlap_primary.py,canonical_nonoverlap_primary_20260830 / final_phase1_sensitivities,PASS
Results,Table 2,Table 2,Bias,-0.008832,repo/Data/Additional Sensitivity Analysis/Canonical Primary Nonoverlap 20260830/multi_aoi_metrics.csv,AOI=AOI-00; sensor=landsat; window=W2023; target_year=2025,-0.0088321794688838,counts: integer; manuscript headline RMSE/differences: 6 decimals; table values: source-derived fixed precision,Code/scripts/34_promote_nonoverlap_primary.py,canonical_nonoverlap_primary_20260830 / final_phase1_sensitivities,PASS
Results,Table 2,Table 2,R2,0.7319248633892765,repo/Data/Additional Sensitivity Analysis/Canonical Primary Nonoverlap 20260830/multi_aoi_metrics.csv,AOI=AOI-00; sensor=landsat; window=W2023; target_year=2025,0.7319248633892765,counts: integer; manuscript headline RMSE/differences: 6 decimals; table values: source-derived fixed precision,Code/scripts/34_promote_nonoverlap_primary.py,canonical_nonoverlap_primary_20260830 / final_phase1_sensitivities,PASS
Results,Table 2,Table 2,Pearson_r,0.8607811944412886,repo/Data/Additional Sensitivity Analysis/Canonical Primary Nonoverlap 20260830/multi_aoi_metrics.csv,AOI=AOI-00; sensor=landsat; window=W2023; target_year=2025,0.8607811944412886,counts: integer; manuscript headline RMSE/differences: 6 decimals; table values: source-derived fixed precision,Code/scripts/34_promote_nonoverlap_primary.py,canonical_nonoverlap_primary_20260830 / final_phase1_sensitivities,PASS
Results,Table 2,Table 2,RMSE,0.056442,repo/Data/Additional Sensitivity Analysis/Canonical Primary Nonoverlap 20260830/multi_aoi_metrics.csv,AOI=AOI-00; sensor=landsat; window=W2024; target_year=2025,0.0564420936508308,counts: integer; manuscript headline RMSE/differences: 6 decimals; table values: source-derived fixed precision,Code/scripts/34_promote_nonoverlap_primary.py,canonical_nonoverlap_primary_20260830 / final_phase1_sensitivities,PASS
Results,Table 2,Table 2,MAE,0.045871,repo/Data/Additional Sensitivity Analysis/Canonical Primary Nonoverlap 20260830/multi_aoi_metrics.csv,AOI=AOI-00; sensor=landsat; window=W2024; target_year=2025,0.0458712970417949,counts: integer; manuscript headline RMSE/differences: 6 decimals; table values: source-derived fixed precision,Code/scripts/34_promote_nonoverlap_primary.py,canonical_nonoverlap_primary_20260830 / final_phase1_sensitivities,PASS
Results,Table 2,Table 2,Bias,-0.027288,repo/Data/Additional Sensitivity Analysis/Canonical Primary Nonoverlap 20260830/multi_aoi_metrics.csv,AOI=AOI-00; sensor=landsat; window=W2024; target_year=2025,-0.0272877164921305,counts: integer; manuscript headline RMSE/differences: 6 decimals; table values: source-derived fixed precision,Code/scripts/34_promote_nonoverlap_primary.py,canonical_nonoverlap_primary_20260830 / final_phase1_sensitivities,PASS
Results,Table 2,Table 2,R2,0.6589457461127983,repo/Data/Additional Sensitivity Analysis/Canonical Primary Nonoverlap 20260830/multi_aoi_metrics.csv,AOI=AOI-00; sensor=landsat; window=W2024; target_year=2025,0.6589457461127983,counts: integer; manuscript headline RMSE/differences: 6 decimals; table values: source-derived fixed precision,Code/scripts/34_promote_nonoverlap_primary.py,canonical_nonoverlap_primary_20260830 / final_phase1_sensitivities,PASS
Results,Table 2,Table 2,Pearson_r,0.8607811944412875,repo/Data/Additional Sensitivity Analysis/Canonical Primary Nonoverlap 20260830/multi_aoi_metrics.csv,AOI=AOI-00; sensor=landsat; window=W2024; target_year=2025,0.8607811944412875,counts: integer; manuscript headline RMSE/differences: 6 decimals; table values: source-derived fixed precision,Code/scripts/34_promote_nonoverlap_primary.py,canonical_nonoverlap_primary_20260830 / final_phase1_sensitivities,PASS
Results,Table 2,Table 2,RMSE,0.049471,repo/Data/Additional Sensitivity Analysis/Canonical Primary Nonoverlap 20260830/multi_aoi_metrics.csv,AOI=AOI-00; sensor=landsat; window=W2022_2023; target_year=2025,0.0494710693808697,counts: integer; manuscript headline RMSE/differences: 6 decimals; table values: source-derived fixed precision,Code/scripts/34_promote_nonoverlap_primary.py,canonical_nonoverlap_primary_20260830 / final_phase1_sensitivities,PASS
Results,Table 2,Table 2,MAE,0.040529,repo/Data/Additional Sensitivity Analysis/Canonical Primary Nonoverlap 20260830/multi_aoi_metrics.csv,AOI=AOI-00; sensor=landsat; window=W2022_2023; target_year=2025,0.0405291375754565,counts: integer; manuscript headline RMSE/differences: 6 decimals; table values: source-derived fixed precision,Code/scripts/34_promote_nonoverlap_primary.py,canonical_nonoverlap_primary_20260830 / final_phase1_sensitivities,PASS
Results,Table 2,Table 2,Bias,-0.005075,repo/Data/Additional Sensitivity Analysis/Canonical Primary Nonoverlap 20260830/multi_aoi_metrics.csv,AOI=AOI-00; sensor=landsat; window=W2022_2023; target_year=2025,-0.0050750157569322,counts: integer; manuscript headline RMSE/differences: 6 decimals; table values: source-derived fixed precision,Code/scripts/34_promote_nonoverlap_primary.py,canonical_nonoverlap_primary_20260830 / final_phase1_sensitivities,PASS
Results,Table 2,Table 2,R2,0.7379888113696362,repo/Data/Additional Sensitivity Analysis/Canonical Primary Nonoverlap 20260830/multi_aoi_metrics.csv,AOI=AOI-00; sensor=landsat; window=W2022_2023; target_year=2025,0.7379888113696362,counts: integer; manuscript headline RMSE/differences: 6 decimals; table values: source-derived fixed precision,Code/scripts/34_promote_nonoverlap_primary.py,canonical_nonoverlap_primary_20260830 / final_phase1_sensitivities,PASS
Results,Table 2,Table 2,Pearson_r,0.8607811944412872,repo/Data/Additional Sensitivity Analysis/Canonical Primary Nonoverlap 20260830/multi_aoi_metrics.csv,AOI=AOI-00; sensor=landsat; window=W2022_2023; target_year=2025,0.8607811944412872,counts: integer; manuscript headline RMSE/differences: 6 decimals; table values: source-derived fixed precision,Code/scripts/34_promote_nonoverlap_primary.py,canonical_nonoverlap_primary_20260830 / final_phase1_sensitivities,PASS
Results,Table 2,Table 2,RMSE,0.053031,repo/Data/Additional Sensitivity Analysis/Canonical Primary Nonoverlap 20260830/multi_aoi_metrics.csv,AOI=AOI-00; sensor=landsat; window=W2023_2024; target_year=2025,0.0530310819217106,counts: integer; manuscript headline RMSE/differences: 6 decimals; table values: source-derived fixed precision,Code/scripts/34_promote_nonoverlap_primary.py,canonical_nonoverlap_primary_20260830 / final_phase1_sensitivities,PASS
Results,Table 2,Table 2,MAE,0.043249,repo/Data/Additional Sensitivity Analysis/Canonical Primary Nonoverlap 20260830/multi_aoi_metrics.csv,AOI=AOI-00; sensor=landsat; window=W2023_2024; target_year=2025,0.0432492653225373,counts: integer; manuscript headline RMSE/differences: 6 decimals; table values: source-derived fixed precision,Code/scripts/34_promote_nonoverlap_primary.py,canonical_nonoverlap_primary_20260830 / final_phase1_sensitivities,PASS
Results,Table 2,Table 2,Bias,-0.019750,repo/Data/Additional Sensitivity Analysis/Canonical Primary Nonoverlap 20260830/multi_aoi_metrics.csv,AOI=AOI-00; sensor=landsat; window=W2023_2024; target_year=2025,-0.0197504641536073,counts: integer; manuscript headline RMSE/differences: 6 decimals; table values: source-derived fixed precision,Code/scripts/34_promote_nonoverlap_primary.py,canonical_nonoverlap_primary_20260830 / final_phase1_sensitivities,PASS
Results,Table 2,Table 2,R2,0.6989225592062891,repo/Data/Additional Sensitivity Analysis/Canonical Primary Nonoverlap 20260830/multi_aoi_metrics.csv,AOI=AOI-00; sensor=landsat; window=W2023_2024; target_year=2025,0.6989225592062891,counts: integer; manuscript headline RMSE/differences: 6 decimals; table values: source-derived fixed precision,Code/scripts/34_promote_nonoverlap_primary.py,canonical_nonoverlap_primary_20260830 / final_phase1_sensitivities,PASS
Results,Table 2,Table 2,Pearson_r,0.8607811944412884,repo/Data/Additional Sensitivity Analysis/Canonical Primary Nonoverlap 20260830/multi_aoi_metrics.csv,AOI=AOI-00; sensor=landsat; window=W2023_2024; target_year=2025,0.8607811944412884,counts: integer; manuscript headline RMSE/differences: 6 decimals; table values: source-derived fixed precision,Code/scripts/34_promote_nonoverlap_primary.py,canonical_nonoverlap_primary_20260830 / final_phase1_sensitivities,PASS
Results,Table 2,Table 2,RMSE,0.051431,repo/Data/Additional Sensitivity Analysis/Canonical Primary Nonoverlap 20260830/multi_aoi_metrics.csv,AOI=AOI-00; sensor=landsat; window=W2022_2024; target_year=2025,0.0514311399500868,counts: integer; manuscript headline RMSE/differences: 6 decimals; table values: source-derived fixed precision,Code/scripts/34_promote_nonoverlap_primary.py,canonical_nonoverlap_primary_20260830 / final_phase1_sensitivities,PASS
Results,Table 2,Table 2,MAE,0.042138,repo/Data/Additional Sensitivity Analysis/Canonical Primary Nonoverlap 20260830/multi_aoi_metrics.csv,AOI=AOI-00; sensor=landsat; window=W2022_2024; target_year=2025,0.042138244427321,counts: integer; manuscript headline RMSE/differences: 6 decimals; table values: source-derived fixed precision,Code/scripts/34_promote_nonoverlap_primary.py,canonical_nonoverlap_primary_20260830 / final_phase1_sensitivities,PASS
Results,Table 2,Table 2,Bias,-0.014888,repo/Data/Additional Sensitivity Analysis/Canonical Primary Nonoverlap 20260830/multi_aoi_metrics.csv,AOI=AOI-00; sensor=landsat; window=W2022_2024; target_year=2025,-0.0148883960426229,counts: integer; manuscript headline RMSE/differences: 6 decimals; table values: source-derived fixed precision,Code/scripts/34_promote_nonoverlap_primary.py,canonical_nonoverlap_primary_20260830 / final_phase1_sensitivities,PASS
Results,Table 2,Table 2,R2,0.7168154590562494,repo/Data/Additional Sensitivity Analysis/Canonical Primary Nonoverlap 20260830/multi_aoi_metrics.csv,AOI=AOI-00; sensor=landsat; window=W2022_2024; target_year=2025,0.7168154590562494,counts: integer; manuscript headline RMSE/differences: 6 decimals; table values: source-derived fixed precision,Code/scripts/34_promote_nonoverlap_primary.py,canonical_nonoverlap_primary_20260830 / final_phase1_sensitivities,PASS
Results,Table 2,Table 2,Pearson_r,0.8607811944412878,repo/Data/Additional Sensitivity Analysis/Canonical Primary Nonoverlap 20260830/multi_aoi_metrics.csv,AOI=AOI-00; sensor=landsat; window=W2022_2024; target_year=2025,0.8607811944412878,counts: integer; manuscript headline RMSE/differences: 6 decimals; table values: source-derived fixed precision,Code/scripts/34_promote_nonoverlap_primary.py,canonical_nonoverlap_primary_20260830 / final_phase1_sensitivities,PASS
Results,Table 2,Table 2,RMSE,0.042857,repo/Data/Additional Sensitivity Analysis/Canonical Primary Nonoverlap 20260830/multi_aoi_metrics.csv,AOI=AOI-00; sensor=modis; window=W2022; target_year=2025,0.0428567236749459,counts: integer; manuscript headline RMSE/differences: 6 decimals; table values: source-derived fixed precision,Code/scripts/34_promote_nonoverlap_primary.py,canonical_nonoverlap_primary_20260830 / final_phase1_sensitivities,PASS
Results,Table 2,Table 2,MAE,0.033005,repo/Data/Additional Sensitivity Analysis/Canonical Primary Nonoverlap 20260830/multi_aoi_metrics.csv,AOI=AOI-00; sensor=modis; window=W2022; target_year=2025,0.0330049589599437,counts: integer; manuscript headline RMSE/differences: 6 decimals; table values: source-derived fixed precision,Code/scripts/34_promote_nonoverlap_primary.py,canonical_nonoverlap_primary_20260830 / final_phase1_sensitivities,PASS
Results,Table 2,Table 2,Bias,-0.009416,repo/Data/Additional Sensitivity Analysis/Canonical Primary Nonoverlap 20260830/multi_aoi_metrics.csv,AOI=AOI-00; sensor=modis; window=W2022; target_year=2025,-0.0094164417593354,counts: integer; manuscript headline RMSE/differences: 6 decimals; table values: source-derived fixed precision,Code/scripts/34_promote_nonoverlap_primary.py,canonical_nonoverlap_primary_20260830 / final_phase1_sensitivities,PASS
Results,Table 2,Table 2,R2,0.8074222535834166,repo/Data/Additional Sensitivity Analysis/Canonical Primary Nonoverlap 20260830/multi_aoi_metrics.csv,AOI=AOI-00; sensor=modis; window=W2022; target_year=2025,0.8074222535834166,counts: integer; manuscript headline RMSE/differences: 6 decimals; table values: source-derived fixed precision,Code/scripts/34_promote_nonoverlap_primary.py,canonical_nonoverlap_primary_20260830 / final_phase1_sensitivities,PASS
Results,Table 2,Table 2,Pearson_r,0.9039491553791996,repo/Data/Additional Sensitivity Analysis/Canonical Primary Nonoverlap 20260830/multi_aoi_metrics.csv,AOI=AOI-00; sensor=modis; window=W2022; target_year=2025,0.9039491553791996,counts: integer; manuscript headline RMSE/differences: 6 decimals; table values: source-derived fixed precision,Code/scripts/34_promote_nonoverlap_primary.py,canonical_nonoverlap_primary_20260830 / final_phase1_sensitivities,PASS
Results,Table 2,Table 2,RMSE,0.041835,repo/Data/Additional Sensitivity Analysis/Canonical Primary Nonoverlap 20260830/multi_aoi_metrics.csv,AOI=AOI-00; sensor=modis; window=W2023; target_year=2025,0.0418347022994977,counts: integer; manuscript headline RMSE/differences: 6 decimals; table values: source-derived fixed precision,Code/scripts/34_promote_nonoverlap_primary.py,canonical_nonoverlap_primary_20260830 / final_phase1_sensitivities,PASS
Results,Table 2,Table 2,MAE,0.032965,repo/Data/Additional Sensitivity Analysis/Canonical Primary Nonoverlap 20260830/multi_aoi_metrics.csv,AOI=AOI-00; sensor=modis; window=W2023; target_year=2025,0.0329651744131916,counts: integer; manuscript headline RMSE/differences: 6 decimals; table values: source-derived fixed precision,Code/scripts/34_promote_nonoverlap_primary.py,canonical_nonoverlap_primary_20260830 / final_phase1_sensitivities,PASS
Results,Table 2,Table 2,Bias,-0.000532,repo/Data/Additional Sensitivity Analysis/Canonical Primary Nonoverlap 20260830/multi_aoi_metrics.csv,AOI=AOI-00; sensor=modis; window=W2023; target_year=2025,-0.0005316982009135,counts: integer; manuscript headline RMSE/differences: 6 decimals; table values: source-derived fixed precision,Code/scripts/34_promote_nonoverlap_primary.py,canonical_nonoverlap_primary_20260830 / final_phase1_sensitivities,PASS
Results,Table 2,Table 2,R2,0.8164976915126667,repo/Data/Additional Sensitivity Analysis/Canonical Primary Nonoverlap 20260830/multi_aoi_metrics.csv,AOI=AOI-00; sensor=modis; window=W2023; target_year=2025,0.8164976915126667,counts: integer; manuscript headline RMSE/differences: 6 decimals; table values: source-derived fixed precision,Code/scripts/34_promote_nonoverlap_primary.py,canonical_nonoverlap_primary_20260830 / final_phase1_sensitivities,PASS
Results,Table 2,Table 2,Pearson_r,0.9039382033914638,repo/Data/Additional Sensitivity Analysis/Canonical Primary Nonoverlap 20260830/multi_aoi_metrics.csv,AOI=AOI-00; sensor=modis; window=W2023; target_year=2025,0.9039382033914638,counts: integer; manuscript headline RMSE/differences: 6 decimals; table values: source-derived fixed precision,Code/scripts/34_promote_nonoverlap_primary.py,canonical_nonoverlap_primary_20260830 / final_phase1_sensitivities,PASS
Results,Table 2,Table 2,RMSE,0.044496,repo/Data/Additional Sensitivity Analysis/Canonical Primary Nonoverlap 20260830/multi_aoi_metrics.csv,AOI=AOI-00; sensor=modis; window=W2024; target_year=2025,0.0444963977992049,counts: integer; manuscript headline RMSE/differences: 6 decimals; table values: source-derived fixed precision,Code/scripts/34_promote_nonoverlap_primary.py,canonical_nonoverlap_primary_20260830 / final_phase1_sensitivities,PASS
Results,Table 2,Table 2,MAE,0.034245,repo/Data/Additional Sensitivity Analysis/Canonical Primary Nonoverlap 20260830/multi_aoi_metrics.csv,AOI=AOI-00; sensor=modis; window=W2024; target_year=2025,0.0342448811228304,counts: integer; manuscript headline RMSE/differences: 6 decimals; table values: source-derived fixed precision,Code/scripts/34_promote_nonoverlap_primary.py,canonical_nonoverlap_primary_20260830 / final_phase1_sensitivities,PASS
Results,Table 2,Table 2,Bias,-0.012800,repo/Data/Additional Sensitivity Analysis/Canonical Primary Nonoverlap 20260830/multi_aoi_metrics.csv,AOI=AOI-00; sensor=modis; window=W2024; target_year=2025,-0.0127998791318279,counts: integer; manuscript headline RMSE/differences: 6 decimals; table values: source-derived fixed precision,Code/scripts/34_promote_nonoverlap_primary.py,canonical_nonoverlap_primary_20260830 / final_phase1_sensitivities,PASS
Results,Table 2,Table 2,R2,0.7924045289014423,repo/Data/Additional Sensitivity Analysis/Canonical Primary Nonoverlap 20260830/multi_aoi_metrics.csv,AOI=AOI-00; sensor=modis; window=W2024; target_year=2025,0.7924045289014423,counts: integer; manuscript headline RMSE/differences: 6 decimals; table values: source-derived fixed precision,Code/scripts/34_promote_nonoverlap_primary.py,canonical_nonoverlap_primary_20260830 / final_phase1_sensitivities,PASS
Results,Table 2,Table 2,Pearson_r,0.9039382033914616,repo/Data/Additional Sensitivity Analysis/Canonical Primary Nonoverlap 20260830/multi_aoi_metrics.csv,AOI=AOI-00; sensor=modis; window=W2024; target_year=2025,0.9039382033914616,counts: integer; manuscript headline RMSE/differences: 6 decimals; table values: source-derived fixed precision,Code/scripts/34_promote_nonoverlap_primary.py,canonical_nonoverlap_primary_20260830 / final_phase1_sensitivities,PASS
Results,Table 2,Table 2,RMSE,0.041931,repo/Data/Additional Sensitivity Analysis/Canonical Primary Nonoverlap 20260830/multi_aoi_metrics.csv,AOI=AOI-00; sensor=modis; window=W2022_2023; target_year=2025,0.0419312262114272,counts: integer; manuscript headline RMSE/differences: 6 decimals; table values: source-derived fixed precision,Code/scripts/34_promote_nonoverlap_primary.py,canonical_nonoverlap_primary_20260830 / final_phase1_sensitivities,PASS
Results,Table 2,Table 2,MAE,0.032747,repo/Data/Additional Sensitivity Analysis/Canonical Primary Nonoverlap 20260830/multi_aoi_metrics.csv,AOI=AOI-00; sensor=modis; window=W2022_2023; target_year=2025,0.0327474991523431,counts: integer; manuscript headline RMSE/differences: 6 decimals; table values: source-derived fixed precision,Code/scripts/34_promote_nonoverlap_primary.py,canonical_nonoverlap_primary_20260830 / final_phase1_sensitivities,PASS
Results,Table 2,Table 2,Bias,-0.003708,repo/Data/Additional Sensitivity Analysis/Canonical Primary Nonoverlap 20260830/multi_aoi_metrics.csv,AOI=AOI-00; sensor=modis; window=W2022_2023; target_year=2025,-0.003707723400219,counts: integer; manuscript headline RMSE/differences: 6 decimals; table values: source-derived fixed precision,Code/scripts/34_promote_nonoverlap_primary.py,canonical_nonoverlap_primary_20260830 / final_phase1_sensitivities,PASS
Results,Table 2,Table 2,R2,0.8156499362626483,repo/Data/Additional Sensitivity Analysis/Canonical Primary Nonoverlap 20260830/multi_aoi_metrics.csv,AOI=AOI-00; sensor=modis; window=W2022_2023; target_year=2025,0.8156499362626483,counts: integer; manuscript headline RMSE/differences: 6 decimals; table values: source-derived fixed precision,Code/scripts/34_promote_nonoverlap_primary.py,canonical_nonoverlap_primary_20260830 / final_phase1_sensitivities,PASS
Results,Table 2,Table 2,Pearson_r,0.9039382033914624,repo/Data/Additional Sensitivity Analysis/Canonical Primary Nonoverlap 20260830/multi_aoi_metrics.csv,AOI=AOI-00; sensor=modis; window=W2022_2023; target_year=2025,0.9039382033914624,counts: integer; manuscript headline RMSE/differences: 6 decimals; table values: source-derived fixed precision,Code/scripts/34_promote_nonoverlap_primary.py,canonical_nonoverlap_primary_20260830 / final_phase1_sensitivities,PASS
Results,Table 2,Table 2,RMSE,0.042381,repo/Data/Additional Sensitivity Analysis/Canonical Primary Nonoverlap 20260830/multi_aoi_metrics.csv,AOI=AOI-00; sensor=modis; window=W2023_2024; target_year=2025,0.0423814986103728,counts: integer; manuscript headline RMSE/differences: 6 decimals; table values: source-derived fixed precision,Code/scripts/34_promote_nonoverlap_primary.py,canonical_nonoverlap_primary_20260830 / final_phase1_sensitivities,PASS
