path,scientific_role,entry_point,inputs,outputs,called_by,calls,README_documented,imports_resolve,status
code/src/data_prep/modis.py,preprocessing/upstream utilities,no,repository-relative/configured inputs,explicit output root or returned frames,entry point or internal imports,see source imports,yes,PASS,PASS: importable support module
code/src/data_prep/parity_engine.py,preprocessing/upstream utilities,no,repository-relative/configured inputs,explicit output root or returned frames,entry point or internal imports,see source imports,yes,PASS,PASS: importable support module
code/src/data_prep/processing.py,preprocessing/upstream utilities,no,repository-relative/configured inputs,explicit output root or returned frames,entry point or internal imports,see source imports,yes,PASS,PASS: importable support module
code/src/data_prep/sentinel2.py,preprocessing/upstream utilities,no,repository-relative/configured inputs,explicit output root or returned frames,entry point or internal imports,see source imports,yes,PASS,PASS: importable support module
code/src/data_prep/temporal_composite.py,preprocessing/upstream utilities,no,repository-relative/configured inputs,explicit output root or returned frames,entry point or internal imports,see source imports,yes,PASS,PASS: importable support module
code/src/execution/__init__.py,execution/preparation utilities,no,repository-relative/configured inputs,explicit output root or returned frames,entry point or internal imports,see source imports,yes,PASS,DOCUMENTED_HISTORICAL_UTILITY
code/src/execution/contract.py,execution/preparation utilities,no,repository-relative/configured inputs,explicit output root or returned frames,entry point or internal imports,see source imports,yes,PASS,DOCUMENTED_HISTORICAL_UTILITY
code/src/execution/gate.py,execution/preparation utilities,no,repository-relative/configured inputs,explicit output root or returned frames,entry point or internal imports,see source imports,yes,PASS,DOCUMENTED_HISTORICAL_UTILITY
code/src/execution/identity.py,execution/preparation utilities,no,repository-relative/configured inputs,explicit output root or returned frames,entry point or internal imports,see source imports,yes,PASS,DOCUMENTED_HISTORICAL_UTILITY
code/src/execution/preparation_guard.py,execution/preparation utilities,no,repository-relative/configured inputs,explicit output root or returned frames,entry point or internal imports,see source imports,yes,PASS,DOCUMENTED_HISTORICAL_UTILITY
code/src/execution/remediation.py,execution/preparation utilities,no,repository-relative/configured inputs,explicit output root or returned frames,entry point or internal imports,see source imports,yes,PASS,DOCUMENTED_HISTORICAL_UTILITY
code/src/execution/science.py,execution/preparation utilities,no,repository-relative/configured inputs,explicit output root or returned frames,entry point or internal imports,see source imports,yes,PASS,DOCUMENTED_HISTORICAL_UTILITY
code/src/metrics/__init__.py,evaluation/statistics,no,repository-relative/configured inputs,explicit output root or returned frames,entry point or internal imports,see source imports,yes,PASS,PASS: importable support module
code/src/metrics/block_metrics.py,evaluation/statistics,no,repository-relative/configured inputs,explicit output root or returned frames,entry point or internal imports,see source imports,yes,PASS,PASS: importable support module
code/src/metrics/holm.py,evaluation/statistics,no,repository-relative/configured inputs,explicit output root or returned frames,entry point or internal imports,see source imports,yes,PASS,PASS: importable support module
code/src/metrics/paired_tests.py,evaluation/statistics,no,repository-relative/configured inputs,explicit output root or returned frames,entry point or internal imports,see source imports,yes,PASS,PASS: importable support module
code/src/metrics/regression_metrics.py,evaluation/statistics,no,repository-relative/configured inputs,explicit output root or returned frames,entry point or internal imports,see source imports,yes,PASS,PASS: importable support module
code/src/models/__init__.py,OLS/DPM,no,repository-relative/configured inputs,explicit output root or returned frames,entry point or internal imports,see source imports,yes,PASS,PASS: importable support module
code/src/models/endpoint.py,OLS/DPM,no,repository-relative/configured inputs,explicit output root or returned frames,entry point or internal imports,see source imports,yes,PASS,PASS: importable support module
code/src/models/ols.py,OLS/DPM,no,repository-relative/configured inputs,explicit output root or returned frames,entry point or internal imports,see source imports,yes,PASS,PASS: importable support module
code/src/rolling_origin/__init__.py,Rolling-Origin,no,repository-relative/configured inputs,explicit output root or returned frames,entry point or internal imports,see source imports,yes,PASS,PASS: importable support module
code/src/rolling_origin/design.py,Rolling-Origin,no,repository-relative/configured inputs,explicit output root or returned frames,entry point or internal imports,see source imports,yes,PASS,PASS: importable support module
code/src/rolling_origin/planned_metrics.py,Rolling-Origin,no,repository-relative/configured inputs,explicit output root or returned frames,entry point or internal imports,see source imports,yes,PASS,PASS: importable support module
code/src/rolling_origin/runner.py,Rolling-Origin,no,repository-relative/configured inputs,explicit output root or returned frames,entry point or internal imports,see source imports,yes,PASS,PASS: importable support module
code/src/rolling_origin/windows.py,Rolling-Origin,no,repository-relative/configured inputs,explicit output root or returned frames,entry point or internal imports,see source imports,yes,PASS,PASS: importable support module
code/src/validation/__init__.py,validation/tests,no,repository-relative/configured inputs,explicit output root or returned frames,entry point or internal imports,see source imports,yes,PASS,PASS: importable support module
code/src/validation/groupkfold.py,validation/tests,no,repository-relative/configured inputs,explicit output root or returned frames,entry point or internal imports,see source imports,yes,PASS,PASS: importable support module
code/src/validation/historical_reserve.py,validation/tests,no,repository-relative/configured inputs,explicit output root or returned frames,entry point or internal imports,see source imports,yes,PASS,PASS: importable support module
code/src/validation/leakage_audit.py,validation/tests,no,repository-relative/configured inputs,explicit output root or returned frames,entry point or internal imports,see source imports,yes,PASS,PASS: importable support module
code/src/validation/loyo.py,validation/tests,no,repository-relative/configured inputs,explicit output root or returned frames,entry point or internal imports,see source imports,yes,PASS,PASS: importable support module
code/src/validation/split_blocks.py,validation/tests,no,repository-relative/configured inputs,explicit output root or returned frames,entry point or internal imports,see source imports,yes,PASS,PASS: importable support module
code/validation/test_zero_support_pairs.py,validation/tests,no,repository-relative/configured inputs,explicit output root or returned frames,entry point or internal imports,see source imports,yes,PASS,PASS: importable support module
