path,extension,size_bytes,git_status,scientific_role,authoritative,manuscript_facing,sha256_or_status,legacy_candidate,temporary_generated,required_for_reproduction,safe_to_remove_candidate,contains_absolute_local_path,sensitive_information_scan
Code/Additional Sensitivity Analysis/aggregation_order/__pycache__/run_aggregation_order_sensitivity.cpython-311.pyc,.pyc,4999,untracked,analysis code or configuration,yes,yes,855d202572b630f826994961578a18c3ffcd81254f578fe8c842f77847bccdb3,no,yes,yes,yes,no,not scanned (binary/large)
Code/Additional Sensitivity Analysis/aggregation_order/aggregate_ndvi_first.py,.py,253,tracked,analysis code or configuration,yes,yes,6231af1518e0f1e2fa081f33f00a201b2dbacdcc7b23037ae9136b407f8dfcc2,no,no,yes,no,no,no
Code/Additional Sensitivity Analysis/aggregation_order/aggregate_reflectance_first.py,.py,267,tracked,analysis code or configuration,yes,yes,0fb9be4a61c0043b9bbf0aeee144dca5c8e851949cd7058576cf84c5058a38b7,no,no,yes,no,no,no
Code/Additional Sensitivity Analysis/aggregation_order/audit_primary_route_reproduction.py,.py,11584,tracked,analysis code or configuration,yes,yes,37e43c346d75933d0feb9735421df4924b3feeeeea53908ae095e3108dffe62c,no,no,yes,no,no,no
Code/Additional Sensitivity Analysis/aggregation_order/config.yaml,.yaml,957,tracked,analysis code or configuration,yes,yes,8d56103b50d6198a413589001c8132f19ebd9c1eaf646fc32e2a2857f66e4012,no,no,yes,no,no,no
Code/Additional Sensitivity Analysis/aggregation_order/run_aggregation_order_sensitivity.py,.py,2555,tracked,analysis code or configuration,yes,yes,8fd548885df42175837731cf12bf0ebca8d16eb4a73ae30a0e9f6209fc99b509,no,no,yes,no,no,no
Code/Additional Sensitivity Analysis/aggregation_order/validate_aggregation_order.py,.py,265,tracked,analysis code or configuration,yes,yes,3bd16b3abcd7a85e688252d603327a0185290b1c54e7a59e96eee7139d8bef36,no,no,yes,no,no,no
Code/Additional Sensitivity Analysis/common/__init__.py,.py,81,tracked,analysis code or configuration,yes,yes,0060828e7a986b8290d05592de50844772f4c978eca801f4776e6b21db02f2df,no,no,yes,no,no,no
Code/Additional Sensitivity Analysis/common/config.py,.py,72,tracked,analysis code or configuration,yes,yes,fb3101e1202903ad497c52ebe5268e57928b7a37aeda5ae9e063295a58915e41,no,no,yes,no,no,no
Code/Additional Sensitivity Analysis/common/io_utils.py,.py,74,tracked,analysis code or configuration,yes,yes,f41f89791aa9953542a048cc43fc171e42bd307616cff47c53f0ef0b9ff4b97d,no,no,yes,no,no,no
Code/Additional Sensitivity Analysis/common/paths.py,.py,166,tracked,analysis code or configuration,yes,yes,e76ab7264fab83976797ba854a43e2542d8efb941ee2cf7422d9f94f2121ddbe,no,no,yes,no,no,no
Code/Additional Sensitivity Analysis/common/schemas.py,.py,73,tracked,analysis code or configuration,yes,yes,1ef7fb686d3725c512b8208b042d02fcb43c93db3989443ff523fc3c231cbce5,no,no,yes,no,no,no
Code/Additional Sensitivity Analysis/common/validation.py,.py,76,tracked,analysis code or configuration,yes,yes,a29d7b3e604a2b2f3a4b77451c08baba439336e22c47958c76ae49c40857c863,no,no,yes,no,no,no
Code/Additional Sensitivity Analysis/finalize_sensitivity_results.py,.py,322,tracked,analysis code or configuration,yes,yes,b2956b29bc7cd39e045b2f40508bdb1283d60ad2a4beb42ccedef2882423642c,no,no,yes,no,no,no
Code/Additional Sensitivity Analysis/landsat_aerosol_qa/__init__.py,.py,54,tracked,analysis code or configuration,yes,yes,2a6c94945f62b6f8898dcf951300c96a04007030e7d00bbef9e7c72193957749,no,no,yes,no,no,no
Code/Additional Sensitivity Analysis/landsat_aerosol_qa/__pycache__/run_aerosol_sensitivity.cpython-311.pyc,.pyc,4144,untracked,analysis code or configuration,yes,yes,7166233ac9d52c88a01ee4f19f75d555cbb6e83fe70fd498a5dba81614fd941f,no,yes,yes,yes,no,not scanned (binary/large)
Code/Additional Sensitivity Analysis/landsat_aerosol_qa/config.yaml,.yaml,1859,tracked,analysis code or configuration,yes,yes,cc90ed77f7ec1e5554e075d9fc52cf2fed8c369500add4e35924657f630776dd,no,no,yes,no,no,no
Code/Additional Sensitivity Analysis/landsat_aerosol_qa/decode_aerosol_qa.py,.py,354,tracked,analysis code or configuration,yes,yes,5cc5f6a62f37f2427d4f7e7e2d7096422103260495b2ac7f8ea221b43e155fc5,no,no,yes,no,no,no
Code/Additional Sensitivity Analysis/landsat_aerosol_qa/retrieve_aerosol_qa.py,.py,580,tracked,analysis code or configuration,yes,yes,b1135570435f28bf811825db3025005207eb85a2fb49f986ec4eb2ee729c233e,no,no,yes,no,no,no
Code/Additional Sensitivity Analysis/landsat_aerosol_qa/run_aerosol_sensitivity.py,.py,2380,tracked,analysis code or configuration,yes,yes,e7bc4c08243b2f9193dfc130348312948be6c5ac02d6d1159acc22cc8cef665f,no,no,yes,no,no,no
Code/Additional Sensitivity Analysis/landsat_aerosol_qa/validate_aerosol_qa.py,.py,317,tracked,analysis code or configuration,yes,yes,47055e362d0d55df3e5cf667d56497badf5fce3367dab19cab9550de655fe2d2,no,no,yes,no,no,no
Code/Additional Sensitivity Analysis/non_overlapping_temporal/__init__.py,.py,65,tracked,analysis code or configuration,yes,yes,865a56e3f490c507570ff5838dca7867d76aff931acc773c62ff6c7c7c09e4d9,no,no,yes,no,no,no
Code/Additional Sensitivity Analysis/non_overlapping_temporal/__pycache__/run_temporal_sensitivity.cpython-311.pyc,.pyc,5597,untracked,analysis code or configuration,yes,yes,3e4019288b4b9664a9a2ba86a5f83bf76f86dc685a8e122b0ca7b6b60b5358ae,no,yes,yes,yes,no,not scanned (binary/large)
Code/Additional Sensitivity Analysis/non_overlapping_temporal/build_non_overlapping_composites.py,.py,394,tracked,analysis code or configuration,yes,yes,dc2424617a1a2e2bf593a8ab2327beabcccb6d18aeb55bcedaf9ee62520cb753,no,no,yes,no,no,no
Code/Additional Sensitivity Analysis/non_overlapping_temporal/config.yaml,.yaml,1051,tracked,analysis code or configuration,yes,yes,0b41628a1b42e4028e2e066fbda3a0b882297d0a7df1ccd3775a90ea0705f70f,no,no,yes,no,no,no
Code/Additional Sensitivity Analysis/non_overlapping_temporal/run_temporal_sensitivity.py,.py,3138,tracked,analysis code or configuration,yes,yes,a04528c14a5c15dcc91820d72abc2e745ed1b4b2369adee03bfe6767dcd2ce1f,no,no,yes,no,no,no
Code/Additional Sensitivity Analysis/non_overlapping_temporal/validate_temporal_windows.py,.py,342,tracked,analysis code or configuration,yes,yes,c7afbcc8f7774ba604c66898f30f5ac79e351d2501ec542116e1d9695038afff,no,no,yes,no,no,no
Code/Additional Sensitivity Analysis/tests/__pycache__/test_aerosol_bits.cpython-311-pytest-9.1.1.pyc,.pyc,9835,untracked,analysis code or configuration,yes,yes,50728a0e9096feaf0198e7b36dc1a3a31134bd7ff8fc144caa1ced94ed8be996,no,yes,yes,yes,no,not scanned (binary/large)
Code/Additional Sensitivity Analysis/tests/__pycache__/test_aggregation_order.cpython-311-pytest-9.1.1.pyc,.pyc,5842,untracked,analysis code or configuration,yes,yes,070dec22e0576708c3e09e7f47071fc17f0fcb390370206a35566473b3dd1282,no,yes,yes,yes,no,not scanned (binary/large)
Code/Additional Sensitivity Analysis/tests/__pycache__/test_output_schemas.cpython-311-pytest-9.1.1.pyc,.pyc,1654,untracked,analysis code or configuration,yes,yes,61cd7bc747669b89f33440a4da76d5d892694961fb5b117ae796183dc64dd71a,no,yes,yes,yes,no,not scanned (binary/large)
Code/Additional Sensitivity Analysis/tests/__pycache__/test_temporal_windows.cpython-311-pytest-9.1.1.pyc,.pyc,5341,untracked,analysis code or configuration,yes,yes,fd89c14343a1a928a99024f143b4eca3bba049c74efda5049c737997d175fe5e,no,yes,yes,yes,no,not scanned (binary/large)
Code/Additional Sensitivity Analysis/tests/__pycache__/test_zero_support_pairs.cpython-311-pytest-9.1.1.pyc,.pyc,4787,untracked,analysis code or configuration,yes,yes,3730823e1f82037ef6a676d58b3dbb3164c4ea49d6e98a01e44617d98ea5b521,no,yes,yes,yes,no,not scanned (binary/large)
Code/Additional Sensitivity Analysis/tests/test_aerosol_bits.py,.py,1341,tracked,analysis code or configuration,yes,yes,6f2fe536a6c42f45e749d17bc5d6a33bcd7105f796bfbebf01836515e1e0a8e8,no,no,yes,no,no,no
Code/Additional Sensitivity Analysis/tests/test_aggregation_order.py,.py,1141,tracked,analysis code or configuration,yes,yes,4bd64286db0595f4e988223e43e5ca2eeffeec8d37c3b55eda9a0bd16a18be62,no,no,yes,no,no,no
Code/Additional Sensitivity Analysis/tests/test_output_schemas.py,.py,580,tracked,analysis code or configuration,yes,yes,80515cab25e8839e8329b31129f446b85f0b749855afcd8bd1be56e8d811ff9f,no,no,yes,no,no,no
Code/Additional Sensitivity Analysis/tests/test_temporal_windows.py,.py,1480,tracked,analysis code or configuration,yes,yes,4bb3be71723274f64bb0b06f5004c8ebdca41df527fa95a24a3714160054446e,no,no,yes,no,no,no
Code/Additional Sensitivity Analysis/tests/test_zero_support_pairs.py,.py,1156,untracked,analysis code or configuration,yes,yes,bd5ea678ab57251e80191d58f93efcbc8008ef860e4a77a04a2279fd25ae869e,no,no,yes,no,no,no
Code/README.md,.md,1848,tracked,analysis code or configuration,yes,yes,d811c712d3f3da113c817a54c7d842ec154ca052759923dfa3eba9fe2b99777e,no,no,yes,no,no,no
Code/configs/active_experiments.yaml,.yaml,300,tracked,analysis code or configuration,yes,yes,744d7c3f6a2f26e24399c763e2134c573517ca151577b18959e3a0a076ed20d8,no,no,yes,no,no,no
Code/configs/aoi_candidates.yaml,.yaml,1163,tracked,analysis code or configuration,yes,yes,b94eb937660f5c153083fc405a47b5ff00b687378031eb303d9576adb319529c,no,no,yes,no,no,no
Code/configs/base_methodology.yaml,.yaml,1456,tracked,analysis code or configuration,yes,yes,a4aaac9662c03331b3d18d533c86e15235b550d22131e0340facf859b524624d,no,no,yes,no,no,no
Code/configs/canonical_nonoverlap_primary.yaml,.yaml,762,untracked,analysis code or configuration,yes,yes,b431f6ca6d665473c627b77255621166d1057eda89c3e98347a73a06ab48855d,no,no,yes,no,no,no
Code/configs/dates.yaml,.yaml,164,tracked,analysis code or configuration,yes,yes,21b84500ac0a9826a75ed9ba520167a481971cb73a56eefe87c8c60433dd1341,no,no,yes,no,no,no
Code/configs/fcover_reference_preprocessing.yaml,.yaml,1084,tracked,analysis code or configuration,yes,yes,137ceb195afb6bc05657a747d90634665b6f6e703adc6838b125cf914b14ab96,no,no,yes,no,no,no
Code/configs/final_aois.yaml,.yaml,431,tracked,analysis code or configuration,yes,yes,b6e3bbe9a32df4e7384fdd20603d29eea22b20508c0064751a144d38d85b0826,no,no,yes,no,no,no
Code/configs/gee_cloud.yaml,.yaml,902,tracked,analysis code or configuration,yes,yes,2c7e8f07bf898a2d3a58c70900473d74b94940079df5284f6894a2bdeb79c2f4,no,no,yes,no,no,no
Code/configs/paths.example.yaml,.yaml,465,tracked,analysis code or configuration,yes,yes,321500d2c241b9580b877f979a20cb6bfcb72f5708643353d014c2f7809ca180,no,no,yes,no,no,candidate
Code/configs/paths.external.yaml,.yaml,662,tracked,analysis code or configuration,yes,yes,9e170afb767b8b09333ee201fb0cde3a3157ea8e73bd4e9a02d0a6c44394d772,no,no,yes,no,yes,candidate
Code/configs/rolling_origin.yaml,.yaml,1041,tracked,analysis code or configuration,yes,yes,a1576a50abb1e97dd9e58abc3b6f242dc22749e03ef0ddf4cb0a971a75ab9483,no,no,yes,no,no,no
Code/configs/scientific_execution.yaml,.yaml,7752,tracked,analysis code or configuration,yes,yes,9f27e986a0c3f6f0e78fbbacdc8c9742768ed65cbbc34d9ca5c2bfa39a92c5ff,no,no,yes,no,no,no
Code/configs/sensors.yaml,.yaml,1914,tracked,analysis code or configuration,yes,yes,e276996ae33b3662edb13e3ace710a8535bc85b501412cf57547fb379c2f8e3c,no,no,yes,no,no,no
Code/legacy/audit_scope_and_loyo.py,.py,18175,tracked,analysis code or configuration,yes,yes,5c3eee3a758e409ff70f00f888af6c0ce621b88c18299372c13eafe434ee4727,no,no,yes,no,no,no
Code/legacy/generate_historical_spatial_reserve_diagnostic.py,.py,20157,tracked,analysis code or configuration,yes,yes,637a74f2c3b54fb133faab31aaf23563aca4ca893e315cc8f92522cc8f582de9,no,no,yes,no,no,no
Code/legacy/generate_preprocessing_audit.py,.py,17383,tracked,analysis code or configuration,yes,yes,72b325d61957c20db6ea1fb5d739087e7a1d3de8a774553ed7fa7478199f09b6,no,no,yes,no,no,no
Code/legacy/generate_rt6_fcover_metadata_audit.py,.py,20085,tracked,analysis code or configuration,yes,yes,c040a554b3d5230ce5bff3078bb1040e3854bc3a55e20c3f6b7874f7d72021e4,no,no,yes,no,no,no
Code/legacy/generate_validation_artifacts.py,.py,40718,tracked,analysis code or configuration,yes,yes,d013b76bd80956dfbb9b5561964cf98ec59e013e57170bde8d56311856b1bb58,no,no,yes,no,no,no
Code/legacy/rebuild_unified_pipeline.py,.py,45462,tracked,analysis code or configuration,yes,yes,02203f87bc90c403c986777cb848d4d69d0b7cd3d131709c5381321522ce92c1,no,no,yes,no,no,no
Code/outputs/README_COEFFICIENT_DIAGNOSTICS.md,.md,1369,tracked,analysis code or configuration,yes,yes,67c0b233eb0842b5381e254edc10fb4c27920f63178bdfae94d89aeb939b4ac2,no,no,yes,no,no,no
Code/outputs/coefficient_fold_dispersion.csv,.csv,22300,tracked,analysis code or configuration,yes,yes,8455c2dcb31faebcfbb32f63c983289faaa11f758efa14aa4f19767375530367,no,no,yes,no,no,no
Code/outputs/coefficient_stability.csv,.csv,31864,tracked,analysis code or configuration,yes,yes,e4034dfd3a7c7ac38448dfa5d04d0293075219a4f6865475a4c80b445f40fcf5,no,no,yes,no,no,no
Code/outputs/coefficient_window_ranges.csv,.csv,2075,tracked,analysis code or configuration,yes,yes,5bf2483d4b085f989d84e40252cbed51baff52f47a83f86bb18cc10e2bfd442a,no,no,yes,no,no,no
Code/outputs/groupkfold_coefficient_diagnostics.csv,.csv,97920,tracked,analysis code or configuration,yes,yes,5d7df1288e49b32b2eda833043a45c7fcda614ff93794c891cce1863cff4b27b,no,no,yes,no,no,no
Code/outputs/journal_revision_validation.json,.json,6620,tracked,analysis code or configuration,yes,yes,0795ee4a6a6caba044ae70846183b01d8e36305ae70666fa3e92c8f522bf232f,no,no,yes,no,yes,no
Code/outputs/journal_revision_validation.md,.md,752,tracked,analysis code or configuration,yes,yes,a0b10b44282656764c90380ac5b3f4e97891d3cce8999798875010e759a509a7,no,no,yes,no,no,no
Code/outputs/numerical_integrity_check.json,.json,1293,tracked,analysis code or configuration,yes,yes,178d51478fc7372b405e1f53862b380b804e09065c5ae1ee391bcb2e6c96b332,no,no,yes,no,no,no
Code/pyproject.toml,.toml,803,tracked,analysis code or configuration,yes,yes,3c6a0156a09bded7e66878d7b56845c5f7c4ef3d80ebd50445d31f8f25a15d9f,no,no,yes,no,no,no
Code/reproduce_results.py,.py,8718,tracked,analysis code or configuration,yes,yes,bb2b6fe71924f71a52549f8eb438edaf665b3116f11e525f40712d31366457e8,no,no,yes,no,no,no
Code/requirements-reproduction.txt,.txt,65,tracked,analysis code or configuration,yes,yes,db68070912061aa66ecabbb972049f1d6c723c6c974e2ad91178b45afbe283de,no,no,yes,no,no,no
Code/scripts/01_audit_existing_method.py,.py,482,tracked,analysis code or configuration,yes,yes,cedc80cb35050992dcd367b645309e1b3603c90adb7ade3965fe0a47922522a1,no,no,yes,no,no,no
Code/scripts/02_download_native_data.py,.py,5656,tracked,analysis code or configuration,yes,yes,9dd8205cae2f7e0adcd7a21e3c0247ee8b98febd1042b4317e0b42732d4e4428,no,no,yes,no,no,no
Code/scripts/02_prepare_2021_data.py,.py,296,tracked,analysis code or configuration,yes,yes,6002c2b195a1e19403eb150f3658ffacd049ccf11a188a9a5c8a6b098f3d88b4,no,no,yes,no,no,no
Code/scripts/02_prepare_gee_cloud_data.py,.py,6125,tracked,analysis code or configuration,yes,yes,38fb869e35e6e150c31cecd6cdbe9811551370bc5708f16112270e16347f9b36,no,no,yes,no,no,no
Code/scripts/03_generate_candidate_aois.py,.py,426,tracked,analysis code or configuration,yes,yes,dcaa503b72d7a1426064a43d30819b5d7063ee2d6c6d326674d62b747d612017,no,no,yes,no,no,no
Code/scripts/04_prepare_candidate_aoi_data.py,.py,4675,tracked,analysis code or configuration,yes,yes,d1bccea86fab67c9466769b107c37eb4d6f1b1b2efa9a69aba182b46a4d1df3f,no,no,yes,no,no,candidate
Code/scripts/05_select_final_aois.py,.py,750,tracked,analysis code or configuration,yes,yes,9386cbe897f877e944fa3dbd8448022d5f3997d837a3007c6f6eda1077c448ff,no,no,yes,no,no,no
Code/scripts/06_prepare_rolling_origin.py,.py,674,tracked,analysis code or configuration,yes,yes,99d52aa6dd37c2ffd436c76045ecf315686f5e9f56446c51438ddc5a9543c37c,no,no,yes,no,no,no
Code/scripts/08_run_preexecution_audit.py,.py,3857,tracked,analysis code or configuration,yes,yes,7ff489c86eee61d3b8cc4c5d702ebeeb050fdf92d90682f1ec31da6ee9e6ef82,no,yes,yes,yes,no,no
Code/scripts/09_audit_gee_cloud_assets.py,.py,9240,tracked,analysis code or configuration,yes,yes,4e2e62ff22c4fc5c68447671b994635fdfa668f3d45b96e5e85ffa6927dd94e9,no,no,yes,no,no,no
Code/scripts/11_final_input_remediation.py,.py,11187,tracked,analysis code or configuration,yes,yes,36c64675019fc210bb3472b78f5e59bef3a7c32676318be2c27a7f2cf4aca2dc,no,no,yes,no,no,no
Code/scripts/12_source_acquisition_and_parity.py,.py,21062,tracked,analysis code or configuration,yes,yes,b56b202fa91ccf27c833d24a67ef29fad6bac5104c4d0782628dd0ca67c6eb48,no,no,yes,no,no,no
Code/scripts/15_run_sentinel_parity.py,.py,23402,tracked,analysis code or configuration,yes,yes,83dffa2f5ba6fa4db81e617d72ede661d22cde025a83bba482b8e982be407686,no,no,yes,no,no,no
Code/scripts/15_run_sentinel_tiled_native_parity.py,.py,18595,tracked,analysis code or configuration,yes,yes,39fcb1a50f1cad3388c604a69b262106ac79831da47ab62d32845d0c5978d817,no,no,yes,no,no,no
Code/scripts/16_generate_sentinel_stage1_forensics.py,.py,19798,tracked,analysis code or configuration,yes,yes,5231361e945c1d215cab915ea36456879025cff1daf5d253212d7b7e2da3a3ff,no,no,yes,no,no,no
Code/scripts/17_rebuild_sentinel_cdse_parity_inputs.py,.py,11818,tracked,analysis code or configuration,yes,yes,6cb73e618e4d1352124c4f8794ead09bddfc9e321a56e9b44c6fb7c7c7a16f58,no,no,yes,no,no,candidate
Code/scripts/18_harmonize_existing_sentinel_parity_inputs.py,.py,5814,tracked,analysis code or configuration,yes,yes,42d7eeed1d067dc2811999c214bd52b4e8829b28877116aca7a347c1ca541801,no,no,yes,no,no,no
Code/scripts/19_audit_sentinel_detector_support.py,.py,3305,tracked,analysis code or configuration,yes,yes,6eb78a88c2c0469b5013d90bc7714538de6c658efb3bf0be397ba4060b33f9dc,no,no,yes,no,no,candidate
Code/scripts/20_run_multi_aoi_experiment.py,.py,3243,tracked,analysis code or configuration,yes,yes,904d60cf3132cb7d7af5dba9a6ca7c658a3985bf08b6617c2ba05e2f9699305e,no,no,yes,no,no,no
Code/scripts/21_run_rolling_origin_experiment.py,.py,3366,tracked,analysis code or configuration,yes,yes,90b7284da42062a0a2f29109926720793f3c2dad0bd7f55d1685be35412b6196,no,no,yes,no,no,no
Code/scripts/22_phase0_preparation_lock.py,.py,4228,tracked,analysis code or configuration,yes,yes,bc69c117e2a2fd642f8a7548ed36a814afd0b2be180b390808350656b388bcbe,no,no,yes,no,no,no
Code/scripts/23_decompose_sentinel_source_support.py,.py,38709,tracked,analysis code or configuration,yes,yes,53249be774a7dc43985ecb681b7e19a85deaed7f8459b9982627a90b84e8ed97,no,no,yes,no,no,candidate
Code/scripts/24_repair_three_sensor_source_contract.py,.py,10450,tracked,analysis code or configuration,yes,yes,91c35451ac8adc77adf803841b67011c82213280799437ea9a2df6d839167088,no,no,yes,no,no,no
Code/scripts/25_run_landsat_modis_parity.py,.py,25051,tracked,analysis code or configuration,yes,yes,f8caaa122d9e39875f06ea6326669d4e1a61242e9d23519c65461588794a0550,no,no,yes,no,no,no
Code/scripts/26_build_three_sensor_parity_gate.py,.py,11360,tracked,analysis code or configuration,yes,yes,47bc1d0d4758d149dbf327cf14451530831512aa635f420a06bf1e67cd62b4e6,no,no,yes,no,no,no
Code/scripts/27_finalize_scientific_inputs.py,.py,16507,tracked,analysis code or configuration,yes,yes,8ee79e0dd0621c058c9fe72ef88b500175ae522956701e5964b7c00968e7fcca,no,no,yes,no,no,no
Code/scripts/28_audit_scientific_execution_readiness.py,.py,17722,tracked,analysis code or configuration,yes,yes,76f4c316bf16744ed959f898f97a10b14465ea8c3a28686e567c7e2cafb7b3bf,no,no,yes,no,no,no
Code/scripts/29_accept_scientific_execution_readiness.py,.py,5274,tracked,analysis code or configuration,yes,yes,4cec936b5c7c0ae49b8af27042c091915df22dd4d0c61b30b2facacbebd40d67,no,no,yes,no,no,no
Code/scripts/30_remediate_paired_extraction.py,.py,1876,tracked,analysis code or configuration,yes,yes,86644446bb723c98e9b484fef48d8412af3fcd14d9eb596113da1861c08ccb1d,no,no,yes,no,no,no
Code/scripts/31_validate_run_feasibility.py,.py,8112,tracked,analysis code or configuration,yes,yes,4a937f992a4eb0d73264e54bf9deafb26d3bb7e0d9951bba8caaeb29a7461a3b,no,no,yes,no,no,no
Code/scripts/32_finalize_scientific_execution.py,.py,33899,tracked,analysis code or configuration,yes,yes,dffb775a716243d5bf2a9d1bace17619914afd8df3691949251f9bdbdee4979b,no,no,yes,no,no,no
Code/scripts/33_generate_coefficient_stability.py,.py,14604,tracked,analysis code or configuration,yes,yes,a9edff73a6005a8358d90b26b784ec290f33b86a724ff3ab753d2a3c919ee0f5,no,no,yes,no,no,no
Code/scripts/33_run_stage2_dpm.py,.py,17787,tracked,analysis code or configuration,yes,yes,ec2342d8ce98d031aefd82de1913921218066870ddaf88ff8bca327b513493d1,no,no,yes,no,no,no
Code/scripts/34_promote_nonoverlap_primary.py,.py,10217,untracked,analysis code or configuration,yes,yes,e35be830bd9a080c34007b120619febc22a7f97fd2c7b2959315171ff9beecd6,no,no,yes,no,no,no
Code/scripts/35_phase1_nonoverlap_sensitivity.py,.py,18650,untracked,analysis code or configuration,yes,yes,cc9ed18a17ee2e9b3b4eeb4368e5c51c98d4a7973c6651c02642d401f7d391ca,no,no,yes,no,no,no
Code/scripts/36_build_phase1_submission.py,.py,10907,untracked,analysis code or configuration,yes,yes,83f5e60d51a2ca3168e7d7fefc9503723901df5a5ae895eddf5a8553e6d1f7a9,no,no,yes,no,no,no
Code/scripts/37_postprocess_phase1_aerosol.py,.py,7883,untracked,analysis code or configuration,yes,yes,8cb702d63dde32080ac001c789faf3bde66729ba2ff31afb9453d9af258ed6e1,no,no,yes,no,no,no
Code/scripts/__pycache__/35_phase1_nonoverlap_sensitivity.cpython-311.pyc,.pyc,30126,untracked,analysis code or configuration,yes,yes,534e38e9e5e8015e9e7c7fa00eac6dade304944960173f34020f40543453f33a,no,yes,yes,yes,no,not scanned (binary/large)
Code/scripts/__pycache__/36_build_phase1_submission.cpython-311.pyc,.pyc,13861,untracked,analysis code or configuration,yes,yes,e24c5b21abd76153dbcbc70f53329f85b867b2670b04eafcf6c70d1a5d3f8821,no,yes,yes,yes,no,not scanned (binary/large)
Code/src/additional_sensitivity_analysis/__init__.py,.py,370,tracked,analysis code or configuration,yes,yes,4ad3a94d60f2acacf891ae9be46188ca198e06d4d5c50143b3afb5667d53070f,no,no,yes,no,no,no
Code/src/additional_sensitivity_analysis/__pycache__/__init__.cpython-311.pyc,.pyc,629,untracked,analysis code or configuration,yes,yes,0ec588238ff2dfae05f24d24b390db2be5c804f30b8530f8d75afb7d242f3df7,no,yes,yes,yes,no,not scanned (binary/large)
Code/src/additional_sensitivity_analysis/__pycache__/__init__.cpython-313.pyc,.pyc,603,untracked,analysis code or configuration,yes,yes,4cd0a2b1eb435d583dd3816f12c7fce51217133dafde2f990821978cf24c4ec7,no,yes,yes,yes,no,not scanned (binary/large)
Code/src/additional_sensitivity_analysis/__pycache__/aerosol.cpython-311.pyc,.pyc,5072,untracked,analysis code or configuration,yes,yes,b87f9f0acc2e393f9ab706f9efe0e0aeef681ee3c9008fd860f5d830df55fe25,no,yes,yes,yes,no,not scanned (binary/large)
Code/src/additional_sensitivity_analysis/__pycache__/aggregation.cpython-311.pyc,.pyc,4521,untracked,analysis code or configuration,yes,yes,7154daccea7dad202248b17ba9b32208703b385d13340a09725532235cf84ed5,no,yes,yes,yes,no,not scanned (binary/large)
Code/src/additional_sensitivity_analysis/__pycache__/config.cpython-311.pyc,.pyc,3689,untracked,analysis code or configuration,yes,yes,936597839a47d29bf01f0dc43c81c7da44c734452d48c6ec1467d6f7a8cf1c24,no,yes,yes,yes,no,not scanned (binary/large)
